Date,Temperature,NOx,Wind Direction,Wind Speed,PM2.5
1/6/19 4:00,20.3,25.7,15,3.5,34
1/6/19 5:00,20.1,22.4,17,3.2,37
1/6/19 6:00,19.7,19,21,3.1,33
1/6/19 7:00,19.7,20.1,7,3.5,21
1/6/19 8:00,20,22.5,3,2.6,14
1/6/19 9:00,20.6,27.1,10,3.8,17
1/6/19 10:00,21.9,25.8,1,2.8,23
1/6/19 11:00,23.4,23.3,7,3.3,24
1/6/19 12:00,24.8,15.1,352,3.1,18
1/6/19 13:00,25.1,14.4,4,3.4,21
1/6/19 14:00,25.3,13.6,349,3.2,33
1/6/19 15:00,24.9,13.5,336,3.6,35
1/6/19 16:00,23.5,13.6,359,2.7,30
1/6/19 17:00,22,14.9,5,3,21
1/6/19 18:00,21.3,16.1,357,2.6,26
1/6/19 19:00,20.6,14.6,353,2,24
1/6/19 20:00,20.1,15.3,13,2.8,21
1/6/19 21:00,19.9,19.6,11,2.3,20
1/6/19 22:00,19.7,20.7,15,2.8,24
1/6/19 23:00,19.4,19.7,17,2.4,24
1/7/19 0:00,19.1,18.7,20,2.2,18
1/7/19 1:00,18.7,16.5,16,2.1,12
1/7/19 2:00,18.6,18,21,1.8,13
1/7/19 3:00,18.5,18.7,36,1.2,22
1/7/19 4:00,18.4,19.4,26,1.3,30
1/7/19 5:00,18.3,20.9,5,2.7,30
1/7/19 6:00,18.3,16.3,20,2,19
1/7/19 7:00,18.5,28.6,27,2.5,18
1/7/19 8:00,19.5,31.5,8,2.2,23
1/7/19 9:00,21.1,34.9,17,2.5,26
1/7/19 10:00,23.3,33.6,38,1.9,26
1/7/19 11:00,25.1,23.2,46,1.9,31
1/7/19 12:00,26.5,17.5,355,1.7,28
1/7/19 13:00,26.2,12.8,307,3.4,26
1/7/19 14:00,25.4,13,322,3.7,18
1/7/19 15:00,24.3,13.1#                          ,345,3.1,793#                           
1/7/19 16:00,23.8,16.1,343,2.9,26
1/7/19 17:00,22.7,23#                            ,342,2.6,26
1/7/19 18:00,21.7,21.6,349,3.1,21
1/7/19 19:00,20.9,15,357,2.5,22
1/7/19 20:00,20.1,13.7,21,2.4,19
1/7/19 21:00,19.9,16.9,6,2.6,23
1/7/19 22:00,19.9,14,15,2.3,30
1/7/19 23:00,20,14.2,8,2,35
1/8/19 0:00,19.9,14.9,355,2.6,39
1/8/19 1:00,19.8,14.6,2,2.4,39
1/8/19 2:00,19.7,13.8,6,2.8,41
1/8/19 3:00,19.7,13.3,17,2.4,39
1/8/19 4:00,19.8,12.5,12,2.3,35
1/8/19 5:00,19.8,11.3,9,3,32
1/8/19 6:00,19.7,11.7,17,3,37
1/8/19 7:00,19.9,16.9,26,2.5,38
1/8/19 8:00,20.3,20.7,35,2.8,35
1/8/19 9:00,21.4,21.4,29,2.7,36
1/8/19 10:00,23.2,21.8,43,2,745#                           
1/8/19 11:00,25.3,18.5#                          ,3,3.2,34
1/8/19 12:00,26.2,14.5,326,2.9,35
1/8/19 13:00,26,14.6,350,3,33
1/8/19 14:00,26.5,14.7,341,2.9,31
1/8/19 15:00,26.4,15.2,341,2.6,34
1/8/19 16:00,24.8,17,358,2.7,18
1/8/19 17:00,23.4,18.6,354,2.6,18
1/8/19 18:00,21.9,15.6,360,2.5,30
1/8/19 19:00,21.3,16.8,22,2.4,23
1/8/19 20:00,21,19.7,7,2.2,19
1/8/19 21:00,20.8,20.6,8,2.5,16
1/8/19 22:00,20.2,18.6,18,3.3,17
1/8/19 23:00,20.1,17.6,11,2.4,16
1/9/19 0:00,20,18.1,0,2.5,15
1/9/19 1:00,20,15.8,356,2.5,12
1/9/19 2:00,19.9,13.5,357,1.9,10
1/9/19 3:00,19.7,13.1,352,1.7,11
1/9/19 4:00,19.4,12.9,5,1.9,17
1/9/19 5:00,19,13,5,2,17
1/9/19 6:00,18.7,15.3,16,1.8,19
1/9/19 7:00,18.8,23.9,6,2.7,19
1/9/19 8:00,20,28.3,10,2.9,24
1/9/19 9:00,21.6,26.8,15,2.9,23
1/9/19 10:00,23.4,24.1,15,3,27
1/9/19 11:00,25.1,23.1,338,2.6,30
1/9/19 12:00,26.2,17.8,358,2.4,30
1/9/19 13:00,26.5,13.6,320,3.2,25
1/9/19 14:00,26.2,13.1,360,3.1,25
1/9/19 15:00,26,13.6,344,2.9,25
1/9/19 16:00,24.8,16.2,321,2.6,31
1/9/19 17:00,22.6,19.6,344,2.4,27
1/9/19 18:00,21.6,17.5,22,2.7,27
1/9/19 19:00,20.7,14.8,22,2.5,24
1/9/19 20:00,20.2,18,24,2.4,22
1/9/19 21:00,20.3,22.3,6,2.8,19
1/9/19 22:00,20.1,22.1,30,1.7,23
1/9/19 23:00,20.1,21,3,2.2,26
1/10/19 0:00,19.8,14.8,4,2,26
1/10/19 1:00,19.7,12.1,17,2.6,23
1/10/19 2:00,19.7,9.9,21,2.9,26
